,text,coord,place,hashtags,formatted_text,sentiment,neg,neu,pos,compound
74,"@EdnaK_ @CahnEmily Sigh, I do have an impatience issue with people that do not bother to read all my responses. I… https://t.co/bc1zaV2qX6",,,nan,     Sigh  I do have an impatience issue with people that do not bother to read all my responses  I   ,positive,0.14,0.702,0.157,-0.169
75,"RT @Ishow_leck: Dear future wifey!
Be ready to preserve breast milk 🥛 in the fridge for me when you start breastfeeding our kids. I need su…",,,nan, Dear future wifey  Be ready to preserve breast milk   in the fridge for me when you start breastfeeding our kids  I need su ,positive,0.0,0.797,0.203,0.6249
76,RT @shaymantim: One of the first great product placements in top sport (nothing like this happens by accident). Milk owned this moment for…,,,nan, One of the first great product placements in top sport  nothing like this happens by accident   Milk owned this moment for ,positive,0.185,0.605,0.21,0.1754
77,@msdanai @mary_somethin The milk in the pee one is willlllllllllld!!!!!!,,,nan,    somethin The milk in the **** one is willlllllllllld      ,neutral,0.0,1.0,0.0,0.0
78,"@SpeedodukeEarl @Bums01L @spikewarden1 Oh and a bottle of red for $3😱. I cooked up 2 of the schnitzels, stirfried a… https://t.co/C9WiTO78t5",,,nan,      Oh and a bottle of red for  3   I cooked up 2 of the schnitzels  stirfried a   ,neutral,0.0,1.0,0.0,0.0
79,"RT @ZacharyIvanPor1: @BetoORourke You couldn’t fix a glass of chocolate milk if I gave you the glass, a spoon, the syrup, and the milk.",,,nan,   You couldn t fix a glass of chocolate milk if I gave you the glass  a spoon  the syrup  and the milk ,neutral,0.0,1.0,0.0,0.0
80,"RT @Nher_who: Kashmiri Pandits are protesting against the Govt for failure to provide them security

Anupam Kher &amp; Vivek Agnihotri have not…",,,nan, Kashmiri Pandits are protesting against the Govt for failure to provide them security  Anupam Kher  amp  Vivek Agnihotri have not ,negative,0.239,0.667,0.094,-0.5719
81,"RT @Nher_who: Kashmiri Pandits are protesting against the Govt for failure to provide them security

Anupam Kher &amp; Vivek Agnihotri have not…",,,nan, Kashmiri Pandits are protesting against the Govt for failure to provide them security  Anupam Kher  amp  Vivek Agnihotri have not ,negative,0.239,0.667,0.094,-0.5719
82,"This Con of living crisis has reminded me of childhood stuff like a banana being shared between 4, orange segments… https://t.co/d6wFKbQqNH",,,nan,This Con of living crisis has reminded me of childhood stuff like a banana being shared between 4  orange segments   ,positive,0.171,0.625,0.204,-0.0516
83,"RT @kent_police: A prolific burglar has been jailed after he was caught on CCTV targeting a home in #Sheppey.
Alfie Chambers ransacked a ho…",,,['Sheppey'], A prolific burglar has been jailed after he was caught on CCTV targeting a home in  Sheppey  Alfie Chambers ransacked a ho ,negative,0.151,0.849,0.0,-0.4939
84,RT @zephanijong: strawberry milk 🍓 https://t.co/OyzXrC5Cig,,,nan, strawberry milk    ,neutral,0.0,1.0,0.0,0.0
85,"RT @DrNeenaJha: My patient is struggling to afford basic formula milk for her baby. 
I see her fear and desperation &amp; I’m shaking with ange…",,,nan, My patient is struggling to afford basic formula milk for her baby   I see her fear and desperation  amp  I m shaking with ange ,negative,0.386,0.614,0.0,-0.8658
86,RT @felixsater: Bill Gates is clairvoyant. Launches artificial breast milk: formula shortage hits America. Largest investor in vaccines: th…,,,nan, Bill Gates is clairvoyant  Launches artificial breast milk  formula shortage hits America  Largest investor in vaccines  th ,negative,0.111,0.889,0.0,-0.25
87,which #bbc nigga up and #horny? Let me milk your #blackdick on camera while rubbing my wet pussy! Dm me horny black dick niggas who up?,,,"['bbc', 'horny', 'blackdick']",which  bbc **** up and  ****  Let me milk your  blackdick on camera while rubbing my wet ****  Dm me **** black **** **** who up ,negative,0.192,0.808,0.0,-0.6908
88,"RT @Artz76Kai: @not_enough_milk Not quite mom/son per-say, but the world needs more Wuta porn so close enough? https://t.co/4h9zQIggR1",,,nan,   enough milk Not quite mom son per say  but the world needs more Wuta **** so close enough   ,neutral,0.0,1.0,0.0,0.0
89,"@Ghidorah64 @SCMPNews Since it's until now much cheaper to import everything from China, you don't much brain to fi… https://t.co/UhF67GGUNc",,,nan,    Since it s until now much cheaper to import everything from China  you don t much brain to fi   ,neutral,0.0,1.0,0.0,0.0
90,"@Neloangelo314 Beans, breast milk, and unvaccinated blood",,,nan,  Beans  breast milk  and unvaccinated blood,neutral,0.0,1.0,0.0,0.0
91,@milk_1000ml_ 大人になっても答えがわからんのか……大変じゃ…🙃,,,nan,  1000ml                          ,neutral,0.0,1.0,0.0,0.0
92,RT @ALittleLucky9er: @EEEaley @DrScottHadland Find a milk bank near you and check their supply https://t.co/4x03iPXMxc,,,nan,     Find a milk bank near you and check their supply  ,neutral,0.0,1.0,0.0,0.0
93,RT @RealOmarNavarro: Pf1zer states not to breast feed. Suddenly there’s a Formula shortage. Suddenly Bill Gates magically appears with Synt…,,,nan, Pf1zer states not to breast feed  Suddenly there s a Formula shortage  Suddenly Bill Gates magically appears with Synt ,negative,0.111,0.889,0.0,-0.25
94,"RT @gyuunyu0141: CryptoAkamiと申します❗️

Milk rabbit というコレクションを展開中です。日本に住む平和な宇宙人をコンセプトに牛乳を飲むうさぎの宇宙人を作品にしております🐰🥛

ゆるかわいい宇宙人たちをぜひ可愛いがってください🐰
 #NF…",,,nan, CryptoAkami         Milk rabbit                                                                                         NF ,neutral,0.0,1.0,0.0,0.0
95,"@3pistachios - water or chocolate milk,coconut milk,even flavored sparkling waters,zero coke etc:)))",,,nan,    water or chocolate milk coconut milk even flavored sparkling waters zero coke etc    ,positive,0.0,0.845,0.155,0.296
96,RT @Blue_Senpai: want milk? 🐮 https://t.co/ClJZbqoYP0,,,nan, want milk     ,positive,0.0,0.435,0.565,0.0772
97,@DrBimi @elonmusk Congratulations on using 2400L of water to save the planet with the 1L oat milk,,,nan,    Congratulations on using 2400L of water to save the planet with the 1L oat milk,positive,0.0,0.647,0.353,0.7964
98,"RT @yoruba_proverbs: Onísùúrù ló lè fún wàrà kìnìún. /
Only a patient person can milk a lioness. 
[When faced with a high-risk issue, be mi…",,,nan, On s  r  l  l  f n w r  k n  n    Only a patient person can milk a lioness    When faced with a high risk issue  be mi ,negative,0.13,0.87,0.0,-0.2732
99,"CryptoAkamiと申します❗️

Milk rabbit というコレクションを展開中です。日本に住む平和な宇宙人をコンセプトに牛乳を飲むうさぎの宇宙人を作品にしております🐰🥛

ゆるかわいい宇宙人たちをぜひ可愛いがってくださ… https://t.co/lRyaW6Zx16",,,nan,CryptoAkami         Milk rabbit                                                                                       ,neutral,0.0,1.0,0.0,0.0
100,@SuzyJourno I'm sure all those farmers are queueing up to tell Jeffrey to go ahead and decimate dairy and meat farm… https://t.co/ubYGjEq1Mt,,,nan,  I m sure all those farmers are queueing up to tell Jeffrey to go ahead and decimate dairy and meat farm   ,positive,0.0,0.887,0.113,0.3182
101,@JAConno @_singsun Lynne is on the cake stall ferreting out vegan / dairy free cakes as we speak!!,,,nan,    singsun Lynne is on the cake stall ferreting out vegan   dairy free cakes as we speak  ,positive,0.094,0.733,0.173,0.3612
102,"A Glass Of Milk every day.

Download the Desi Farms app to place your order:
Android: https://t.co/YRiBLK0fen
iOS:… https://t.co/COVIrYMNLB",,,nan,A Glass Of Milk every day   Download the Desi Farms app to place your order  Android    iOS    ,neutral,0.0,1.0,0.0,0.0
103,RT @kmcsween: @elonmusk Would love to send you some from my dairy. It’s the lowest sugar/highest fat chocolate milk you can find. It is del…,,,nan,   Would love to send you some from my dairy  It s the lowest sugar highest **** chocolate milk you can find  It is del ,positive,0.094,0.755,0.151,0.3818
104,"RT @PWonderous: Uganda is progressing steadily in dairy production, the trend is expected to increase over time @MAAIF_Uganda  @FrankTumweb…",,,nan, Uganda is progressing steadily in dairy production  the trend is expected to increase over time   Uganda    ,positive,0.0,0.867,0.133,0.3182
105,"Drinking Dairy Increases Risk of This Type of Cancer

#dairy #news #healthy #healthyeating
https://t.co/1ZyrnCHQKq",,,"['dairy', 'news', 'healthy', 'healthyeating']",Drinking Dairy Increases Risk of This Type of Cancer   dairy  news  healthy  healthyeating  ,negative,0.339,0.521,0.141,-0.5859
106,RT @swati_gs: We are fed the relentless propaganda that cows are kept safe at expense of humans. And that a community is lynched with false…,,,nan, We are fed the relentless propaganda that cows are kept safe at expense of humans  And that a community is lynched with false ,positive,0.08,0.757,0.163,0.2732
107,RT @Kamaraja6969: Dairy milk https://t.co/L9oniRhYl4,,,nan, Dairy milk  ,neutral,0.0,1.0,0.0,0.0
108,When you’re in a milkmaid trudging up the mountain in 10 feet of snow just to deliver warm dairy products to a fest… https://t.co/yyPGVPLxVm,,,nan,When you re in a milkmaid trudging up the mountain in 10 feet of snow just to deliver warm dairy products to a fest   ,positive,0.0,0.917,0.083,0.2263
109,RT @vermagag: @Rssamul @Amul_Coop Instead of sending buffaloes to slaughterhouses our innocent dairy farmer should send them to their offic…,,,nan,     Coop Instead of sending buffaloes to slaughterhouses our innocent dairy farmer should send them to their offic ,positive,0.0,0.87,0.13,0.34
110,RT @kurteichenwald: GOPrs blame Biden for baby formula shortage without explaining why. Reality:Trump's rewrite of NAFTA limited Canada's e…,,,nan, GOPrs blame Biden for baby formula shortage without explaining why  Reality Trump s rewrite of NAFTA limited Canada s e ,negative,0.31,0.69,0.0,-0.6486
111,RT @swati_gs: We are fed the relentless propaganda that cows are kept safe at expense of humans. And that a community is lynched with false…,,,nan, We are fed the relentless propaganda that cows are kept safe at expense of humans  And that a community is lynched with false ,positive,0.08,0.757,0.163,0.2732
112,"@SpeedodukeEarl @Bums01L @spikewarden1 Oh and a bottle of red for $3😱. I cooked up 2 of the schnitzels, stirfried a… https://t.co/C9WiTO78t5",,,nan,      Oh and a bottle of red for  3   I cooked up 2 of the schnitzels  stirfried a   ,neutral,0.0,1.0,0.0,0.0
113,RT @swati_gs: We are fed the relentless propaganda that cows are kept safe at expense of humans. And that a community is lynched with false…,,,nan, We are fed the relentless propaganda that cows are kept safe at expense of humans  And that a community is lynched with false ,positive,0.08,0.757,0.163,0.2732
114,RT @kurteichenwald: GOPrs blame Biden for baby formula shortage without explaining why. Reality:Trump's rewrite of NAFTA limited Canada's e…,,,nan, GOPrs blame Biden for baby formula shortage without explaining why  Reality Trump s rewrite of NAFTA limited Canada s e ,negative,0.31,0.69,0.0,-0.6486
